customerID,churn_prediction,churn_probability,risk_level,estimated_ltv,ltv_segment,retention_priority
5954-BDFSG,No,0.0438031330704689,Low,10206.98791667819,High,Monitor
0434-CSFON,Yes,0.5864953398704529,Medium,4972.843310058117,High,High
1215-FIGMP,No,0.21065951883792877,Low,5819.770255538821,High,Monitor
0526-SXDJP,No,0.009288082830607891,Low,4032.215321107954,High,Monitor
0557-ASKVU,No,0.08873607963323593,Low,1574.0730872154236,Medium,Low
5698-BQJOH,Yes,0.7755395174026489,High,849.6,Low,Medium
5122-CYFXA,No,0.3192366063594818,Medium,533.4689012467861,Low,Low
8627-ZYGSZ,No,0.17786718904972076,Low,4486.695345407725,High,Monitor
3410-YOQBQ,No,0.037938643246889114,Low,4283.886226916314,High,Monitor
3170-NMYVV,No,0.009637379087507725,Low,1486.4393634732812,Medium,Low
7410-OIEDU,No,0.46066418290138245,Medium,1056.8957899719476,Medium,Medium
2273-QCKXA,No,0.28086036443710327,Low,260.6927947461605,Low,Low
0731-EBJQB,No,0.03384219482541084,Low,1297.3154307067393,Medium,Low
1891-QRQSA,No,0.124012291431427,Low,9488.645478630066,High,Monitor
8028-PNXHQ,No,0.009160538204014301,Low,2080.1685667652637,Medium,Low
5630-AHZIL,No,0.2332819700241089,Low,490.21987760066986,Low,Low
2673-CXQEU,No,0.20646576583385468,Low,7240.226394504309,High,Monitor
6416-JNVRK,No,0.13465829193592072,Low,3137.775192645192,Medium,Low
5590-ZSKRV,No,0.14385874569416046,Low,717.9287172868848,Low,Low
0191-ZHSKZ,No,0.2028406411409378,Low,2600.0259724482894,Medium,Low
3887-PBQAO,No,0.04318314418196678,Low,1462.8786787882445,Medium,Low
5919-TMRGD,Yes,0.865118145942688,High,79.35,Low,Medium
8108-UXRQN,No,0.28121209144592285,Low,774.0583726644516,Low,Low
9191-MYQKX,Yes,0.5488786101341248,Medium,526.0500000000001,Low,Low
9919-YLNNG,No,0.41833844780921936,Medium,4721.858814704418,High,High
0318-ZOPWS,No,0.01820572093129158,Low,1462.1457133576273,Medium,Low
4445-ZJNMU,Yes,0.859576940536499,High,977.3640588283539,Medium,High
4808-YNLEU,No,0.053381506353616714,Low,2881.2380725614726,Medium,Low
1862-QRWPE,No,0.013818497769534588,Low,1479.9515525054185,Medium,Low
2796-NNUFI,No,0.00794850755482912,Low,1392.6942545827478,Medium,Low
3016-KSVCP,No,0.19049134850502014,Low,1142.6755019277334,Medium,Low
4767-HZZHQ,No,0.28962796926498413,Low,2811.2161507308483,Medium,Low
2424-WVHPL,Yes,0.55452561378479,Medium,274.3616199016571,Low,Low
7233-PAHHL,No,0.027429679408669472,Low,7504.701766312122,High,Monitor
6067-NGCEU,No,0.15032275021076202,Low,7784.389951534569,High,Monitor
9848-JQJTX,No,0.08908861130475998,Low,9470.663018864394,High,Monitor
8637-XJIVR,Yes,0.5295791625976562,Medium,947.4000000000001,Medium,Medium
9803-FTJCG,No,0.013695544563233852,Low,5537.563434151373,High,Monitor
0278-YXOOG,No,0.1299581676721573,Low,105.25,Low,Low
3212-KXOCR,No,0.021462678909301758,Low,1585.182809829712,Medium,Low
4598-XLKNJ,Yes,0.6966999769210815,High,2462.5,Medium,High
6380-ARCEH,No,0.3646429777145386,Medium,97.20527110099792,Low,Low
3679-XASPY,No,0.3957329988479614,Medium,89.9679590344429,Low,Low
7123-WQUHX,No,0.10912869870662689,Low,4625.593283474445,High,Monitor
5386-THSLQ,No,0.06189163401722908,Low,3519.0700328461826,High,Monitor
3192-NQECA,No,0.28077536821365356,Low,7480.0,High,Monitor
6180-YBIQI,No,0.34483233094215393,Medium,217.02344614863395,Low,Low
6728-DKUCO,No,0.0349835604429245,Low,8704.877546158434,High,Monitor
9750-BOOHV,No,0.046317245811223984,Low,1309.8424204654991,Medium,Low
8597-CWYHH,No,0.20401406288146973,Low,4958.2652780056,High,Monitor
2848-YXSMW,No,0.007881514728069305,Low,1858.7303667426108,Medium,Low
0486-HECZI,No,0.354011595249176,Medium,5321.25,High,High
4549-ZDQYY,No,0.0424652099609375,Low,3679.2696929931644,High,Monitor
5712-AHQNN,No,0.31030726432800293,Medium,4320.212035346031,High,High
4846-WHAFZ,Yes,0.5794306397438049,Medium,2830.5,Medium,Medium
5256-SKJGO,No,0.040955375880002975,Low,4751.132075446844,High,Monitor
3071-VBYPO,No,0.3017835319042206,Medium,645.9584979504347,Low,Low
9560-BBZXK,No,0.040485817939043045,Low,1832.8299684718252,Medium,Low
5299-RULOA,Yes,0.8302385210990906,High,1002.5,Medium,High
8402-OOOHJ,No,0.009415746666491032,Low,1337.583555952087,Medium,Low
9445-ZUEQE,No,0.26953208446502686,Low,2673.8151984214783,Medium,Low
1091-SOZGA,No,0.22376911342144012,Low,6518.414109766483,High,Monitor
2928-HLDBA,No,0.09169568121433258,Low,237.0113963931799,Low,Low
0404-SWRVG,Yes,0.7521330118179321,High,223.20000000000002,Low,Medium
6497-TILVL,No,0.1555882692337036,Low,611.7700484991074,Low,Low
7219-TLZHO,No,0.07094702869653702,Low,199.62452671006324,Low,Low
4622-YNKIJ,No,0.044256821274757385,Low,4975.6705379426485,High,Monitor
4412-YLTKF,Yes,0.5169844031333923,Medium,2107.35,Medium,Medium
6734-PSBAW,No,0.0052405488677322865,Low,2257.8380417799576,Medium,Low
3930-ZGWVE,No,0.35481491684913635,Medium,96.20443235337734,Low,Low
2639-UGMAZ,No,0.0668191984295845,Low,4640.0866749838,High,Monitor
2876-GZYZC,Yes,0.6838468313217163,High,1280.390189087391,Medium,High
6207-WIOLX,No,0.2011284977197647,Low,1465.0,Medium,Low
8587-XYZSF,No,0.0160481259226799,Low,4580.580413630604,High,Monitor
3091-FYHKI,Yes,0.7752299308776855,High,35.45,Low,Medium
2372-HWUHI,No,0.4937018156051636,Medium,88.7,Low,Low
7799-LGRDP,No,0.019533315673470497,Low,1709.8518508926034,Medium,Low
7850-VWJUU,No,0.26855653524398804,Low,2054.1495591402054,Medium,Low
3774-VBNXY,No,0.013119838200509548,Low,1771.239502440393,Medium,Low
6217-KDYWC,No,0.01767387054860592,Low,1579.2862112939358,Medium,Low
0390-DCFDQ,Yes,0.7975113987922668,High,70.45,Low,Medium
3146-MSEGF,No,0.0035861930809915066,Low,8445.221656781248,High,Monitor
4080-OGPJL,No,0.2560749351978302,Low,569.2,Low,Low
1095-WGNGG,No,0.05260460078716278,Low,8461.673322170973,High,Monitor
2636-SJDOU,No,0.05362468585371971,Low,6352.553267790377,High,Monitor
1131-QQZEB,No,0.01361711323261261,Low,2267.422883313894,Medium,Low
5716-EZXZN,No,0.03411183878779411,Low,8734.359336833655,High,Monitor
6837-BJYDQ,No,0.030606893822550774,Low,286.8012585729361,Low,Low
2135-RXIHG,Yes,0.7067084312438965,High,45.65,Low,Medium
6440-DKQGE,No,0.05374293401837349,Low,2667.402969069779,Medium,Low
3466-BYAVD,No,0.19865992665290833,Low,1376.6588105857372,Medium,Low
3780-YVMFA,No,0.3098553419113159,Medium,832.2564978718757,Low,Low
3874-EQOEP,Yes,0.7727997303009033,High,665.0,Low,Medium
1679-JRFBR,No,0.07567331194877625,Low,8770.09117575288,High,Monitor
9073-ZZIAY,No,0.028959253802895546,Low,7344.758597941696,High,Monitor
3077-RSNTJ,No,0.11614179611206055,Low,222.67203969955443,Low,Low
6551-GNYDG,Yes,0.5118710398674011,Medium,1369.5377972483636,Medium,Medium
9167-APMXZ,No,0.42307254672050476,Medium,2142.5906711608172,Medium,Medium
2749-CTKAJ,No,0.03873315081000328,Low,675.7343241341412,Low,Low
6371-NZYEG,No,0.032927364110946655,Low,2519.2260045409203,Medium,Low
7554-NEWDD,No,0.025907190516591072,Low,857.8204448893666,Low,Low
8992-VONJD,No,0.258284330368042,Low,977.2164649963379,Medium,Low
0867-MKZVY,No,0.3315189480781555,Medium,1648.0,Medium,Medium
4482-EWFMI,Yes,0.6019338369369507,High,305.87126939296724,Low,Medium
4648-YPBTM,No,0.03675136715173721,Low,5625.117775219679,High,Monitor
2907-ILJBN,No,0.030554141849279404,Low,466.24701613485814,Low,Low
6345-FZOQH,No,0.009791404940187931,Low,1846.0236250005662,Medium,Low
3376-BMGFE,Yes,0.5629131197929382,Medium,283.6,Low,Low
5997-OPVFA,No,0.0024261223152279854,Low,8543.614891387895,High,Monitor
3445-HXXGF,No,0.41837409138679504,Medium,2627.3999999999996,Medium,Medium
1159-WFSGR,No,0.13229674100875854,Low,432.60687890052793,Low,Low
7654-YWJUF,No,0.06386280059814453,Low,4569.184708595276,High,Monitor
1875-QIVME,Yes,0.6805877685546875,High,208.8,Low,Medium
6727-IOTLZ,No,0.04114283621311188,Low,3033.1802697360517,Medium,Low
0691-JVSYA,No,0.20366887748241425,Low,5027.049999999999,High,Monitor
5918-VUKWP,No,0.026877935975790024,Low,897.5719009883702,Medium,Low
1744-JHKYS,No,0.0794558897614479,Low,976.2246371373534,Medium,Low
2656-FMOKZ,Yes,0.5826586484909058,Medium,1116.75,Medium,Medium
2070-FNEXE,No,0.37595537304878235,Medium,535.15,Low,Low
5947-SGKCL,Yes,0.5707836747169495,Medium,1851.5576392114162,Medium,Medium
3712-PKXZA,No,0.019090956076979637,Low,1495.4421702314169,Medium,Low
6317-YPKDH,No,0.44732534885406494,Medium,29.95,Low,Low
6582-OIVSP,Yes,0.5123318433761597,Medium,177.8482049703598,Low,Low
9367-WXLCH,Yes,0.6964524984359741,High,676.0,Low,Medium
5524-KHNJP,No,0.10092233866453171,Low,3273.222662217915,High,Monitor
1918-ZBFQJ,Yes,0.622851550579071,High,1030.25,Medium,High
1024-GUALD,Yes,0.6748297214508057,High,24.8,Low,Medium
4827-USJHP,No,0.17347578704357147,Low,1292.8837253868578,Medium,Low
8167-GJLRN,No,0.30458390712738037,Medium,218.04389533996581,Low,Low
0956-SYCWG,No,0.07210543751716614,Low,474.2475378334522,Low,Low
8017-UVSZU,No,0.129691481590271,Low,2559.556772851944,Medium,Low
7100-FQPRV,No,0.09878262877464294,Low,3869.2703478932385,High,Monitor
2472-OVKUP,Yes,0.6753110885620117,High,546.0,Low,Medium
2984-RGEYA,No,0.012511850334703922,Low,1830.8193829413503,Medium,Low
9680-NIAUV,No,0.011470543220639229,Low,10501.000353808702,High,Monitor
2146-EGVDT,No,0.008987476117908955,Low,1597.7370010621846,Medium,Low
2604-IJPDU,No,0.4604777991771698,Medium,2243.5452109366656,Medium,Medium
9178-JHUVJ,No,0.021599648520350456,Low,1144.3067632958293,Medium,Low
6168-YBYNP,No,0.37477347254753113,Medium,6987.363842990994,High,High
7255-SSFBC,No,0.024852916598320007,Low,10709.046242684126,High,Monitor
3645-DEYGF,No,0.36644554138183594,Medium,99.62753009796143,Low,Low
9323-HGFWY,No,0.2234332114458084,Low,3700.8858690440657,High,Monitor
8544-GOQSH,No,0.3885592520236969,Medium,1414.3749912530184,Medium,Medium
3363-DTIVD,No,0.049049533903598785,Low,9902.997720715402,High,Monitor
7018-WBJNK,No,0.4798226058483124,Medium,1262.279339772463,Medium,Medium
9142-KZXOP,No,0.23949670791625977,Low,3343.563909959793,High,Monitor
7674-YTAFD,No,0.08511915057897568,Low,3516.086686934531,High,Monitor
6348-SNFUS,No,0.004498830530792475,Low,5317.212956329621,High,Monitor
1285-OKIPP,Yes,0.8107141256332397,High,79.9,Low,Medium
7825-ECJRF,Yes,0.5866530537605286,Medium,2025.3999999999999,Medium,Medium
1347-KTTTA,No,0.13670799136161804,Low,7618.131195420027,High,Monitor
7841-TZDMQ,Yes,0.5262457728385925,Medium,92.0,Low,Low
4195-NZGTA,Yes,0.540526807308197,Medium,94.86018869280815,Low,Low
7157-SMCFK,No,0.011840672232210636,Low,1673.1375213619322,Medium,Low
4709-LKHYG,No,0.019389281049370766,Low,815.346572548151,Low,Low
2504-DSHIH,No,0.4547562301158905,Medium,2280.3629553556443,Medium,Medium
0699-NDKJM,No,0.16410359740257263,Low,3643.403481915593,High,Monitor
9286-BHDQG,No,0.0035558645613491535,Low,4340.138331086375,High,Monitor
0230-WEQUW,No,0.012490911409258842,Low,5077.032345941663,High,Monitor
2040-LDIWQ,No,0.030522992834448814,Low,7432.119136080146,High,Monitor
6496-JDSSB,Yes,0.5800988078117371,Medium,841.5525722503662,Low,Low
9408-SSNVZ,Yes,0.5932324528694153,Medium,280.6,Low,Low
4443-EMBNA,No,0.007539594080299139,Low,2346.7714811163023,Medium,Low
6469-MRVET,No,0.1544622778892517,Low,225.15834383964537,Low,Low
0742-MOABM,No,0.25964510440826416,Low,200.2,Low,Low
5961-VUSRV,No,0.043408557772636414,Low,454.32053288519387,Low,Low
6778-JFCMK,No,0.08516732603311539,Low,1769.8863996326925,Medium,Low
6341-JVQGF,No,0.11781138926744461,Low,3374.725269131363,High,Monitor
2232-DMLXU,Yes,0.5983613729476929,Medium,55.2,Low,Low
4811-JBUVU,No,0.24325093626976013,Low,3105.1904449760914,Medium,Low
0945-TSONX,No,0.014240842312574387,Low,6027.146147617697,High,Monitor
2651-ZCBXV,No,0.2140960395336151,Low,7869.06306552887,High,Monitor
3316-UWXUY,No,0.10844040662050247,Low,5175.164931885898,High,Monitor
8937-RDTHP,Yes,0.7107610106468201,High,84.6,Low,Medium
7083-MIOPC,No,0.003473383141681552,Low,1942.3119357931428,Medium,Low
1984-GPTEH,No,0.08212121576070786,Low,867.8579085417091,Low,Low
1251-KRREG,Yes,0.5359165072441101,Medium,108.8,Low,Low
0621-JFHOL,No,0.051033467054367065,Low,970.1458250045777,Medium,Low
9903-LYSAB,Yes,0.5580699443817139,Medium,1510.663101410866,Medium,Medium
0094-OIFMO,Yes,0.6766575574874878,High,1045.0,Medium,High
9227-UAQFT,No,0.010503953322768211,Low,785.0211261250079,Low,Low
7301-ABVAD,No,0.010466843843460083,Low,8291.845711755752,High,Monitor
6614-FHDBO,No,0.026276519522070885,Low,10414.334497636557,High,Monitor
7576-ASEJU,No,0.10044905543327332,Low,3869.057466709614,High,Monitor
9058-HRZSV,No,0.24221844971179962,Low,6565.207470083237,High,Monitor
4522-AKYLR,No,0.30263903737068176,Medium,941.6922845125198,Medium,Medium
0221-WMXNQ,No,0.396371990442276,Medium,574.300223121047,Low,Low
0303-UNCIP,No,0.1201099157333374,Low,3351.314265727997,High,Monitor
9947-OTFQU,Yes,0.533662736415863,Medium,1116.0,Medium,Medium
0322-YINQP,No,0.48238280415534973,Medium,48.55,Low,Low
0959-WHOKV,No,0.2593853175640106,Low,5037.850242733955,High,Monitor
4075-JFPGR,No,0.11040669679641724,Low,5766.62368619442,High,Monitor
4629-NRXKX,Yes,0.5829662680625916,Medium,140.8,Low,Low
9514-JDSKI,Yes,0.7707947492599487,High,40.2,Low,Medium
3282-ZISZV,No,0.14336739480495453,Low,3538.8017886579037,High,Monitor
3675-YDUPJ,No,0.1454557329416275,Low,300.27622220665216,Low,Low
4111-BNXIF,No,0.029516033828258514,Low,5376.865684452653,High,Monitor
7017-VFHAY,No,0.03366430848836899,Low,9690.50571423173,High,Monitor
6655-LHBYW,No,0.19496957957744598,Low,6822.162742903828,High,Monitor
4959-JOSRX,Yes,0.5849994421005249,Medium,89.2,Low,Low
5046-NUHWD,No,0.22484058141708374,Low,1514.2930430173874,Medium,Low
7273-TEFQD,Yes,0.7811159491539001,High,123.44999999999999,Low,Medium
3606-TWKGI,Yes,0.712340772151947,High,1389.7,Medium,High
7529-ZDFXI,No,0.37715786695480347,Medium,5457.224193924665,High,High
7605-BDWDC,No,0.017563533037900925,Low,2720.7369890734553,Medium,Low
1950-KSVVJ,No,0.1784905195236206,Low,6215.424289655685,High,Monitor
0123-CRBRT,No,0.016581719741225243,Low,7453.439611779153,High,Monitor
6292-TOSSS,No,0.019183747470378876,Low,1831.1357925117015,Medium,Low
3197-ARFOY,Yes,0.6510539054870605,High,2214.836039543152,Medium,High
6323-AYBRX,No,0.05548728257417679,Low,1141.65,Medium,Low
7014-ZZXAW,No,0.007174687460064888,Low,2299.5743318982422,Medium,Low
4385-GZQXV,Yes,0.6395893096923828,High,1511.2,Medium,High
7633-MVPUY,No,0.02442845329642296,Low,4804.7195979729295,High,Monitor
6366-ZGQGL,No,0.49938011169433594,Medium,24.8,Low,Low
4716-HHKQH,No,0.4457990527153015,Medium,2496.9632684409617,Medium,Medium
5940-AHUHD,Yes,0.7032873034477234,High,70.6,Low,Medium
6432-TWQLB,Yes,0.7173908948898315,High,427.0,Low,Medium
4484-GLZOU,Yes,0.6049402356147766,High,5462.599999999999,High,Critical
3179-GBRWV,No,0.17575982213020325,Low,1685.15639731586,Medium,Low
8645-KWHJO,No,0.44268932938575745,Medium,953.9125213027,Medium,Medium
4130-MZLCC,No,0.2683587968349457,Low,474.656776919961,Low,Low
0314-TKOSI,No,0.14774435758590698,Low,612.9113920748233,Low,Low
8229-MYEJZ,No,0.2068106234073639,Low,755.6677764892579,Low,Low
2080-SRCDE,No,0.2800595164299011,Low,135.11892969608306,Low,Low
9577-WJVCQ,No,0.05318514630198479,Low,4011.9244127031416,High,Monitor
9512-UIBFX,No,0.2973197102546692,Low,1712.7,Medium,Low
6202-DYYFX,No,0.10700273513793945,Low,2486.413505554199,Medium,Low
3808-HFKDE,No,0.3319909870624542,Medium,1064.757198342681,Medium,Medium
5583-SXDAG,Yes,0.772204577922821,High,70.0,Low,Medium
3488-PGMQJ,Yes,0.5444806218147278,Medium,596.0,Low,Low
3580-REOAC,No,0.2347630113363266,Low,448.5,Low,Low
7534-BFESC,Yes,0.5632278919219971,Medium,1826.3999999999999,Medium,Medium
3727-OWVYD,No,0.040101829916238785,Low,2846.9492161095145,Medium,Low
2294-SALNE,No,0.057688165456056595,Low,2977.9120068609714,Medium,Low
4847-TAJYI,Yes,0.8107629418373108,High,637.5499868810176,Low,Medium
1563-IWQEX,No,0.05067848041653633,Low,348.6098036147654,Low,Low
8203-XJZRC,No,0.24669323861598969,Low,111.77677150815725,Low,Low
6556-DBKZF,No,0.08300160616636276,Low,7073.2554684251545,High,Monitor
6851-WEFYX,Yes,0.6433544754981995,High,3743.699213218689,High,Critical
2985-JUUBZ,No,0.3019205629825592,Medium,3294.250932177901,High,High
6390-DSAZX,Yes,0.6933861374855042,High,73.6,Low,Medium
0895-LMRSF,No,0.18173061311244965,Low,2129.968198508024,Medium,Low
8098-LLAZX,Yes,0.8898832201957703,High,381.8,Low,Medium
8266-VBFQL,Yes,0.6264985799789429,High,564.1871702194214,Low,Medium
8181-YHCMF,No,0.013987143523991108,Low,5527.35780589208,High,Monitor
2240-HSJQD,No,0.31713178753852844,Medium,3445.6565791398284,High,High
1248-DYXUB,No,0.013231317512691021,Low,1876.9247198164464,Medium,Low
0265-EDXBD,Yes,0.5340882539749146,Medium,2396.8,Medium,Medium
4115-BNPJY,No,0.025967292487621307,Low,3957.066105261445,High,Monitor
3167-SNQPL,No,0.36423760652542114,Medium,4229.544196599722,High,High
4091-TVOCN,No,0.10116291791200638,Low,4629.401042573154,High,Monitor
1098-TDVUQ,No,0.3022015392780304,Medium,99.84572221338749,Low,Low
7277-OZCGZ,No,0.2605437636375427,Low,2354.1914670884607,Medium,Low
1557-EMYVT,No,0.1350218951702118,Low,7335.527543056011,High,Monitor
2799-ARNLO,Yes,0.5776578187942505,Medium,522.4865815997123,Low,Low
7563-BIUPC,Yes,0.7443670630455017,High,403.0,Low,Medium
5027-YOCXN,No,0.14052505791187286,Low,6747.57260852158,High,Monitor
3973-SKMLN,No,0.008519133552908897,Low,1886.4312618151305,Medium,Low
2321-OMBXY,No,0.1038585752248764,Low,3051.4,Medium,Low
2840-XANRC,No,0.4850155711174011,Medium,2235.6000000000004,Medium,Medium
6745-JEFZB,No,0.24591761827468872,Low,3616.491227567196,High,Monitor
5020-ZSTTY,No,0.1361415982246399,Low,4452.3,High,Monitor
9880-TDQAC,No,0.03850708529353142,Low,5704.549797177315,High,Monitor
8705-WZCYL,Yes,0.579407274723053,Medium,157.85532455444334,Low,Low
7102-JJVTX,No,0.053332384675741196,Low,989.4965532571077,Medium,Low
8626-PTQGE,No,0.011133120395243168,Low,5568.604946886376,High,Monitor
4983-CLMLV,No,0.30889707803726196,Medium,5766.257620513439,High,High
5701-YVSVF,No,0.499003142118454,Medium,1161.095837110281,Medium,Medium
5804-LEPIM,Yes,0.6081610321998596,High,140.7,Low,Medium
5697-GOMBF,No,0.35533416271209717,Medium,1144.0610213518141,Medium,Medium
2739-CACDQ,No,0.4755088686943054,Medium,1665.145152014494,Medium,Medium
9385-EHGDO,No,0.013018994592130184,Low,1164.9477509763092,Medium,Low
9498-FIMXL,No,0.02152683399617672,Low,379.0402174472809,Low,Low
2379-GYFLQ,No,0.1260269284248352,Low,5360.680533909798,High,Monitor
0122-OAHPZ,Yes,0.7067012786865234,High,516.9499999999999,Low,Medium
2868-SNELZ,Yes,0.6634035110473633,High,161.2,Low,Medium
4322-RCYMT,No,0.2634841799736023,Low,5154.4,High,Monitor
6680-NENYN,No,0.31713590025901794,Medium,4497.8,High,High
2088-IEBAU,No,0.03015139140188694,Low,8046.011716350168,High,Monitor
7982-VCELR,No,0.23258624970912933,Low,3849.304941165447,High,Monitor
1343-EHPYB,No,0.4576636552810669,Medium,6514.200000000001,High,High
6035-BXTTY,No,0.09931420534849167,Low,2044.1348720662295,Medium,Low
6885-PKOAM,No,0.00557803874835372,Low,8134.770396255888,High,Monitor
7520-HQWJU,No,0.058194600045681,Low,4832.848645361513,High,Monitor
9639-BUJXT,No,0.02213144488632679,Low,1532.0556645579636,Medium,Low
5924-SNGKP,No,0.023255715146660805,Low,1067.5988612193614,Medium,Low
0021-IKXGC,Yes,0.8685593008995056,High,128.96124643087387,Low,Medium
2034-GDRCN,Yes,0.7425850033760071,High,180.8,Low,Medium
8966-SNIZF,No,0.026701537892222404,Low,1815.8357221119106,Medium,Low
6243-OZGFH,No,0.3882829248905182,Medium,1198.8300951570272,Medium,Medium
4654-DLAMQ,No,0.08315114676952362,Low,7275.2120651602745,High,Monitor
0513-RBGPE,No,0.022746654227375984,Low,3796.516242748499,High,Monitor
5160-UXJED,No,0.05491627752780914,Low,1264.0088082671166,Medium,Low
4115-NZRKS,Yes,0.6774102449417114,High,796.6032599806786,Low,Medium
0219-YTZUE,Yes,0.8098855018615723,High,339.2,Low,Medium
0623-IIHUG,No,0.47605618834495544,Medium,879.9,Low,Low
4572-DVCGN,Yes,0.6504504680633545,High,802.5,Low,Medium
3351-NGXYI,No,0.3577573895454407,Medium,1074.07195135355,Medium,Medium
8984-EYLLL,No,0.18576869368553162,Low,8792.748279750347,High,Monitor
9057-MSWCO,No,0.26207688450813293,Low,830.25,Low,Low
9833-TGFHX,No,0.1816006302833557,Low,5031.798945593833,High,Monitor
9294-TDIPC,No,0.05135200172662735,Low,215.97613739073276,Low,Low
5229-DTFYB,No,0.03760325163602829,Low,6332.83516972065,High,Monitor
0104-PPXDV,No,0.04750077426433563,Low,3492.3285326540467,High,Monitor
5176-LMJXE,No,0.008651074022054672,Low,1454.7832902923226,Medium,Low
3583-KRKMD,No,0.2694852948188782,Low,1698.876396739483,Medium,Low
1010-DIAUQ,Yes,0.6442018151283264,High,482.5,Low,Medium
9069-LGEUL,No,0.14314556121826172,Low,1687.0605416297913,Medium,Low
7302-ZHMHP,No,0.11105562746524811,Low,121.28970840424299,Low,Low
