customerID,Churn,churn_prediction,churn_probability,risk_level,MonthlyCharges,tenure,Contract,estimated_ltv,ltv_segment,retention_priority
1866-RZZQS,Yes,Yes,0.7493202090263367,High,98.4,41,Month-to-month,4034.4,High,Critical
6518-LGAOV,Yes,Yes,0.6349035501480103,High,105.0,38,Month-to-month,3990.0,High,Critical
1666-JXLKU,No,Yes,0.6587929129600525,High,100.05,37,Month-to-month,3906.6766143500804,High,Critical
4803-AXVYP,Yes,Yes,0.6099486351013184,High,99.55,38,Month-to-month,3782.9,High,Critical
6851-WEFYX,No,Yes,0.6433544754981995,High,100.8,35,Month-to-month,3743.699213218689,High,Critical
6029-WTIPC,Yes,Yes,0.6914567947387695,High,101.1,37,Month-to-month,3740.7,High,Critical
2568-OIADY,Yes,Yes,0.689052939414978,High,99.5,37,Month-to-month,3681.5,High,Critical
6116-RFVHN,No,Yes,0.6460919976234436,High,100.45,34,Month-to-month,3628.6003530323505,High,Critical
6899-PPEEA,Yes,Yes,0.670089840888977,High,96.55,37,Month-to-month,3572.35,High,Critical
6907-NZZIJ,Yes,Yes,0.6268448233604431,High,99.15,36,Month-to-month,3569.4,High,Critical
4958-XCBDQ,Yes,Yes,0.6433544754981995,High,101.4,35,Month-to-month,3549.0,High,Critical
8709-KRDVL,No,Yes,0.6038503646850586,High,100.0,33,Month-to-month,3537.689781188965,High,Critical
0939-YAPAF,Yes,Yes,0.667860746383667,High,100.25,35,Month-to-month,3508.75,High,Critical
7028-DVOIQ,Yes,Yes,0.6750137805938721,High,99.05,35,Month-to-month,3466.75,High,Critical
2809-ZMYOQ,No,Yes,0.6538406610488892,High,101.35,32,Month-to-month,3453.6994940161703,High,Critical
8397-MVTAZ,Yes,Yes,0.6927570700645447,High,100.05,34,Month-to-month,3401.7,High,Critical
2107-FBPTK,No,Yes,0.6006101369857788,High,104.1,30,Month-to-month,3372.4589084386826,High,Critical
3001-CBHLQ,Yes,Yes,0.6208867430686951,High,104.9,32,Month-to-month,3356.8,High,Critical
3318-OSATS,Yes,Yes,0.6178537011146545,High,95.45,35,Month-to-month,3340.75,High,Critical
6393-WRYZE,Yes,Yes,0.7135645151138306,High,97.65,34,Month-to-month,3320.1000000000004,High,Critical
3001-UNBTL,No,Yes,0.6732227206230164,High,103.95,29,Month-to-month,3218.360989147425,High,Critical
