customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_prediction,churn_probability,risk_level,actual_churn_encoded,expected_remaining_months,estimated_lifetime_months,estimated_ltv,ltv_segment,retention_priority
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,Yes,0.7066552042961121,High,0,1.7600687742233276,3.7600687742233276,359.0865679383278,Low,Medium
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,No,0.04302086681127548,Low,0,11.483749598264694,38.483749598264694,2545.7000359252097,Medium,Low
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,No,0.3195720911026001,Medium,0,4.082567453384399,5.082567453384399,102.66786255836486,Low,Low
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,Yes,0.6364375948905945,High,0,2.181374430656433,3.181374430656433,143.9571929872036,Low,Medium
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,No,0.004006750416010618,Low,0,23.903837990015745,95.90383799001575,9580.793415202574,High,Monitor
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,Yes,0.5797398686408997,Medium,1,0.0,5.0,348.5,Low,Low
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,No,0.1817389279603958,Low,0,4.909566432237625,50.909566432237625,3808.0355691313744,High,Monitor
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,Yes,0.5655017495155334,Medium,1,0.0,34.0,3615.8999999999996,High,High
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,Yes,0.888055682182312,High,1,0.0,11.0,1076.35,Medium,High
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,No,0.06616364419460297,Low,0,11.206036269664764,21.206036269664764,1050.759097161889,Medium,Low
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,No,0.04126977175474167,Low,0,23.0095254778862,93.0095254778862,6436.259163069725,High,Monitor
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,No,0.027773139998316765,Low,0,11.666722320020199,28.6667223200202,594.8344881404191,Low,Low
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,No,0.024631725624203682,Low,0,23.40883858501911,86.40883858501911,6899.745761013775,High,Monitor
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,No,0.24654318392276764,Low,0,4.520740896463394,17.520740896463394,1335.0804563105107,Medium,Low
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,No,0.4721757471561432,Medium,0,3.166945517063141,52.16694551706314,4408.106896191835,High,High
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,No,0.3597038686275482,Medium,0,3.8417767882347107,5.841776788234711,287.7075068205595,Low,Low
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,Yes,0.7108885049819946,High,1,0.0,2.0,161.3,Low,Medium
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,No,0.026740066707134247,Low,0,23.358238399028778,75.35823839902878,6009.819512322545,High,Monitor
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,No,0.014058675616979599,Low,0,23.66259178519249,92.66259178519249,5944.305263020099,High,Monitor
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,No,0.47853896021842957,Medium,0,3.1287662386894226,46.12876623868942,4163.12115304172,High,High
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,Yes,0.6430808901786804,High,1,0.0,15.0,1486.5,Medium,High
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,No,0.10192155838012695,Low,0,5.388470649719238,30.38847064971924,2111.998710155487,Medium,Low
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,Yes,0.6644681692123413,High,1,0.0,8.0,645.2,Low,Medium
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,No,0.06527908891439438,Low,0,11.216650933027267,71.21665093302727,5330.56632233709,High,Monitor
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,Yes,0.7065030932426453,High,1,0.0,18.0,1718.1000000000001,Medium,High
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,No,0.16024832427501678,Low,0,10.077020108699799,73.0770201086998,7282.1250538319355,High,Monitor
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,No,0.22127407789230347,Low,0,9.344711065292358,75.34471106529236,8171.133915030957,High,Monitor
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,No,0.014083588495850563,Low,0,23.661993876099586,57.66199387609959,1438.6667472086847,Medium,Low
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,No,0.0438031330704689,Low,0,22.948724806308746,94.94872480630875,10206.98791667819,High,Monitor
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,Yes,0.5864953398704529,Medium,0,2.4810279607772827,49.48102796077728,4972.843310058117,High,High
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,No,0.21065951883792877,Low,0,4.736042886972427,64.73604288697243,5819.770255538821,High,Monitor
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,No,0.009288082830607891,Low,0,23.77708601206541,95.77708601206541,4032.215321107954,High,Monitor
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,No,0.08873607963323593,Low,0,10.935167044401169,28.93516704440117,1574.0730872154236,Medium,Low
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,Yes,0.7755395174026489,High,1,0.0,9.0,849.6,Low,Medium
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,No,0.3192366063594818,Medium,0,4.084580361843109,7.084580361843109,533.4689012467861,Low,Low
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,No,0.17786718904972076,Low,0,9.86559373140335,56.86559373140335,4486.695345407725,High,Monitor
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,No,0.037938643246889114,Low,0,23.08947256207466,54.08947256207466,4283.886226916314,High,Monitor
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,No,0.009637379087507725,Low,0,23.768702901899815,73.76870290189981,1486.4393634732812,Medium,Low
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,No,0.46066418290138245,Medium,0,3.2360149025917053,13.236014902591705,1056.8957899719476,Medium,Medium
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,No,0.28086036443710327,Low,0,4.31483781337738,5.31483781337738,260.6927947461605,Low,Low
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,No,0.03384219482541084,Low,0,11.59389366209507,63.59389366209507,1297.3154307067393,Medium,Low
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,No,0.124012291431427,Low,0,21.023705005645752,85.02370500564575,9488.645478630066,High,Monitor
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,No,0.009160538204014301,Low,0,23.780147083103657,85.78014708310366,2080.1685667652637,Medium,Low
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,No,0.2332819700241089,Low,0,4.600308179855347,7.600308179855347,490.21987760066986,Low,Low
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,No,0.20646576583385468,Low,0,9.522410809993744,65.52241080999374,7240.226394504309,High,Monitor
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,No,0.13465829193592072,Low,0,10.384100496768951,56.38410049676895,3137.775192645192,Medium,Low
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,No,0.14385874569416046,Low,0,5.136847525835037,13.136847525835037,717.9287172868848,Low,Low
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,No,0.2028406411409378,Low,0,4.782956153154373,34.78295615315437,2600.0259724482894,Medium,Low
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,No,0.04318314418196678,Low,0,11.481802269816399,56.4818022698164,1462.8786787882445,Medium,Low
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,Yes,0.865118145942688,High,1,0.0,1.0,79.35,Low,Medium
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,No,0.28121209144592285,Low,0,4.312727451324463,15.312727451324463,774.0583726644516,Low,Low
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,Yes,0.5488786101341248,Medium,1,0.0,7.0,526.0500000000001,Low,Low
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,No,0.41833844780921936,Medium,0,3.489969313144684,45.489969313144684,4721.858814704418,High,High
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,No,0.01820572093129158,Low,0,23.563062697649002,72.563062697649,1462.1457133576273,Medium,Low
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,Yes,0.859576940536499,High,0,0.8425383567810059,9.842538356781006,977.3640588283539,Medium,High
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,No,0.053381506353616714,Low,0,11.3594219237566,46.3594219237566,2881.2380725614726,Medium,Low
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,No,0.013818497769534588,Low,0,23.66835605353117,71.66835605353117,1479.9515525054185,Medium,Low
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,No,0.00794850755482912,Low,0,23.8092358186841,69.8092358186841,1392.6942545827478,Medium,Low
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,No,0.19049134850502014,Low,0,4.857051908969879,33.85705190896988,1142.6755019277334,Medium,Low
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,No,0.28962796926498413,Low,0,4.262232184410095,34.262232184410095,2811.2161507308483,Medium,Low
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,Yes,0.55452561378479,Medium,0,2.6728463172912598,3.6728463172912598,274.3616199016571,Low,Low
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,No,0.027429679408669472,Low,0,23.341687694191933,89.34168769419193,7504.701766312122,High,Monitor
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,No,0.15032275021076202,Low,0,5.098063498735428,70.09806349873543,7784.389951534569,High,Monitor
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,No,0.08908861130475998,Low,0,21.86187332868576,93.86187332868576,9470.663018864394,High,Monitor
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,Yes,0.5295791625976562,Medium,1,0.0,12.0,947.4000000000001,Medium,Medium
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,No,0.013695544563233852,Low,0,11.835653465241194,82.8356534652412,5537.563434151373,High,Monitor
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,No,0.1299581676721573,Low,1,0.0,5.0,105.25,Low,Low
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,No,0.021462678909301758,Low,0,23.484895706176758,75.48489570617676,1585.182809829712,Medium,Low
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,Yes,0.6966999769210815,High,1,0.0,25.0,2462.5,Medium,High
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,No,0.3646429777145386,Medium,0,3.8121421337127686,4.8121421337127686,97.20527110099792,Low,Low
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,No,0.3957329988479614,Medium,0,3.6256020069122314,4.6256020069122314,89.9679590344429,Low,Low
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,No,0.10912869870662689,Low,0,10.690455615520477,48.69045561552048,4625.593283474445,High,Monitor
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,No,0.06189163401722908,Low,0,11.257300391793251,77.25730039179325,3519.0700328461826,High,Monitor
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,No,0.28077536821365356,Low,1,0.0,68.0,7480.0,High,Monitor
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,No,0.34483233094215393,Medium,0,3.9310060143470764,8.931006014347076,217.02344614863395,Low,Low
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,No,0.0349835604429245,Low,0,11.580197274684906,83.5801972746849,8704.877546158434,High,Monitor
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,No,0.046317245811223984,Low,0,11.444193050265312,43.44419305026531,1309.8424204654991,Medium,Low
