SeniorCitizen,has_security_service,has_streaming_service,is_month_to_month,is_long_term_customer,tenure,MonthlyCharges,TotalCharges,total_services,average_monthly_revenue,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure_group
0,0,0,0,1,25,20.2,507.9,1,20.316,Female,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25-48
0,0,0,0,1,52,24.55,1331.05,2,25.597115384615385,Male,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,49-72
1,1,1,0,1,46,110.0,4874.8,7,105.97391304347826,Female,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,25-48
0,0,0,1,0,9,70.5,597.9,1,66.43333333333334,Male,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0-12
0,0,1,1,0,19,86.85,1564.4,3,82.33684210526316,Female,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,13-24
0,1,0,1,0,12,49.4,611.65,2,50.97083333333333,Female,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0-12
1,1,1,0,1,45,98.7,4525.8,6,100.57333333333334,Male,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),25-48
0,1,1,1,1,36,104.5,3684.95,6,102.35972222222222,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),25-48
0,1,1,1,1,38,95.1,3691.2,5,97.13684210526316,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),25-48
0,0,0,1,0,1,19.2,19.2,1,19.2,Male,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0-12
0,1,1,1,0,10,98.5,1037.75,5,103.775,Male,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0-12
0,0,0,1,0,13,44.8,559.2,1,43.01538461538462,Male,Yes,Yes,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),13-24
0,1,1,0,0,18,82.0,1425.45,6,79.19166666666666,Male,No,No,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),13-24
0,1,1,0,1,37,45.4,1593.1,3,43.056756756756755,Female,Yes,No,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,25-48
0,0,0,1,0,5,20.35,122.0,1,24.4,Male,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),0-12
0,1,0,1,0,11,74.95,815.5,2,74.13636363636364,Male,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0-12
0,1,1,1,1,64,99.15,6171.2,5,96.425,Male,No,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),49-72
0,0,1,1,0,1,55.55,55.55,2,55.55,Male,No,No,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,0-12
1,0,1,1,1,37,92.5,3473.4,4,93.87567567567568,Male,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,25-48
0,1,1,1,1,48,105.25,4997.5,6,104.11458333333333,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),25-48
1,0,1,1,0,20,94.55,1899.65,4,94.9825,Male,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,13-24
0,1,1,1,1,26,69.5,1800.05,5,69.2326923076923,Female,No,No,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),25-48
0,0,0,0,1,30,19.4,578.5,1,19.283333333333335,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25-48
0,1,0,0,1,69,66.9,4577.9,5,66.3463768115942,Female,No,No,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,49-72
0,1,1,0,1,63,89.4,5597.65,8,88.8515873015873,Male,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),49-72
0,0,0,1,0,5,19.35,126.05,1,25.21,Male,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0-12
0,0,0,0,1,39,20.45,790.0,1,20.256410256410255,Male,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25-48
0,1,1,1,0,4,101.7,364.55,5,91.1375,Male,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0-12
0,1,1,0,1,60,101.15,6067.4,5,101.12333333333332,Male,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),49-72
0,1,1,1,0,19,103.3,2012.7,6,105.93157894736842,Male,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,13-24
0,1,1,1,0,11,102.0,1145.35,5,104.12272727272726,Female,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0-12
1,1,1,1,1,31,99.95,3186.65,5,102.79516129032258,Female,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,25-48
0,1,0,1,1,30,84.3,2438.6,4,81.28666666666666,Male,No,No,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),25-48
0,0,0,0,1,53,24.6,1279.0,2,24.132075471698112,Male,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,49-72
0,1,1,1,0,5,89.35,461.7,4,92.34,Female,No,No,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,0-12
1,1,0,0,1,51,79.6,3974.7,3,77.93529411764706,Male,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),49-72
0,1,1,0,1,71,89.3,6388.65,8,89.98098591549295,Female,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),49-72
0,0,0,0,1,61,25.0,1498.35,2,24.563114754098358,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),49-72
1,1,0,1,0,8,74.5,606.55,2,75.81875,Male,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0-12
0,1,0,1,0,10,54.95,568.85,3,56.885000000000005,Male,Yes,No,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),0-12
0,1,1,1,0,12,49.85,617.15,3,51.42916666666667,Female,Yes,No,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0-12
0,1,1,1,1,66,63.85,4264.6,4,64.61515151515152,Male,Yes,No,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,49-72
0,1,0,1,1,24,60.45,1440.75,4,60.03125,Male,No,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),13-24
0,1,0,1,0,4,56.5,235.1,3,58.775,Female,Yes,Yes,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,0-12
0,1,1,1,0,4,88.95,355.2,4,88.8,Female,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,0-12
0,1,0,0,1,35,55.6,2016.45,3,57.612857142857145,Female,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),25-48
1,1,0,1,1,45,85.7,3778.1,4,83.95777777777778,Female,No,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),25-48
0,1,1,0,1,65,110.0,7138.65,7,109.8253846153846,Male,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),49-72
0,0,1,1,0,14,80.9,1152.8,2,82.34285714285714,Female,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),13-24
0,1,1,0,1,61,50.7,3088.75,4,50.635245901639344,Female,Yes,Yes,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),49-72
0,1,0,0,1,68,80.35,5375.15,3,79.04632352941177,Male,Yes,Yes,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),49-72
0,1,0,0,0,23,57.75,1282.85,4,55.77608695652174,Female,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,13-24
0,1,0,1,1,55,81.55,4509.5,3,81.99090909090908,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,49-72
0,0,0,0,1,69,24.45,1718.2,2,24.90144927536232,Male,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),49-72
0,1,1,1,0,7,81.25,580.1,6,82.87142857142858,Female,Yes,No,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),0-12
0,1,0,0,1,72,79.05,5730.7,3,79.59305555555555,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),49-72
0,1,0,0,1,61,49.7,2961.4,2,48.54754098360656,Female,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),49-72
1,1,0,0,1,64,80.3,5017.7,3,78.4015625,Male,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),49-72
1,0,1,1,1,32,93.2,2931.0,4,91.59375,Female,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,25-48
0,1,0,1,0,1,79.55,79.55,3,79.55,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0-12
0,1,0,1,0,3,82.3,214.4,3,71.46666666666667,Male,No,No,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,0-12
0,0,0,1,0,3,20.2,50.6,1,16.866666666666667,Male,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0-12
0,1,1,0,1,72,84.4,6096.45,7,84.67291666666667,Female,Yes,No,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),49-72
0,1,0,1,1,26,29.8,786.5,1,30.25,Female,No,Yes,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,25-48
0,1,1,0,1,39,100.45,3801.7,5,97.47948717948718,Male,No,No,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,25-48
0,0,0,1,0,1,19.55,19.55,1,19.55,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0-12
0,0,0,1,0,1,19.5,19.5,1,19.5,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0-12
0,0,1,0,1,56,88.9,4968.0,3,88.71428571428571,Female,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),49-72
1,1,1,0,1,43,107.55,4533.9,6,105.43953488372092,Female,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,25-48
0,0,0,1,0,1,25.4,25.4,2,25.4,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0-12
0,1,1,0,1,29,70.9,1964.6,5,67.7448275862069,Male,No,No,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),25-48
0,1,0,1,0,2,82.0,184.65,3,92.325,Male,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0-12
0,1,0,0,1,68,79.6,5461.45,3,80.31544117647059,Male,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),49-72
0,1,1,1,1,67,89.55,6373.1,4,95.12089552238807,Male,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),49-72
0,0,0,0,0,19,24.9,467.7,2,24.61578947368421,Female,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),13-24
0,1,1,0,1,66,56.75,3708.4,4,56.18787878787879,Male,Yes,Yes,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),49-72
0,1,0,1,0,4,29.05,129.6,1,32.4,Female,Yes,No,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0-12
0,0,0,0,0,9,19.75,210.65,1,23.405555555555555,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0-12
1,1,1,1,1,53,103.85,5485.5,6,103.5,Male,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,49-72
0,0,0,1,0,23,19.5,470.2,1,20.443478260869565,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,13-24
0,1,1,0,1,50,108.55,5610.7,7,112.214,Female,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,49-72
0,1,0,1,0,2,74.95,151.75,2,75.875,Male,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0-12
0,0,0,0,1,59,20.35,1267.0,1,21.47457627118644,Female,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,49-72
0,1,1,0,1,63,83.5,5435.0,7,86.26984126984127,Male,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),49-72
0,1,1,1,1,25,71.05,1837.7,5,73.508,Female,Yes,No,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,25-48
0,1,0,1,0,14,80.45,1072.0,3,76.57142857142857,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,13-24
0,1,0,0,1,65,67.05,4309.55,5,66.30076923076923,Male,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),49-72
1,1,1,0,1,69,56.55,3952.65,4,57.28478260869565,Male,Yes,No,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),49-72
0,1,0,1,0,21,74.05,1565.7,2,74.55714285714286,Female,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),13-24
0,1,0,0,1,43,91.25,4013.8,5,93.34418604651164,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),25-48
1,1,0,0,1,71,92.0,6585.2,6,92.74929577464789,Male,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,49-72
0,0,0,1,0,19,25.35,566.1,0,29.794736842105266,Male,No,Yes,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),13-24
0,0,0,0,1,40,19.65,830.25,1,20.75625,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25-48
0,0,1,1,0,9,83.3,803.3,3,89.25555555555555,Female,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0-12
0,1,1,0,1,58,103.25,6017.65,6,103.75258620689655,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),49-72
0,0,0,1,0,1,19.9,19.9,1,19.9,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0-12
0,1,1,0,1,47,113.45,5317.8,8,113.14468085106384,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),25-48
0,1,1,0,1,58,84.3,4916.4,7,84.7655172413793,Female,Yes,No,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,49-72
0,1,1,1,1,40,102.65,4108.15,6,102.70374999999999,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,25-48
0,1,1,0,1,41,68.6,2877.05,5,70.1719512195122,Female,No,No,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,25-48
0,1,1,0,1,67,100.9,6733.15,5,100.49477611940299,Male,Yes,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),49-72
1,1,1,0,1,34,99.85,3343.15,5,98.32794117647059,Male,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,25-48
0,0,0,1,0,3,19.1,53.05,1,17.683333333333334,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0-12
1,1,1,0,1,60,116.05,6925.9,8,115.43166666666666,Female,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),49-72
1,1,1,1,0,8,92.1,729.95,4,91.24375,Female,No,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0-12
0,0,0,1,0,15,74.9,1107.25,2,73.81666666666666,Male,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),13-24
0,1,1,0,1,68,102.1,7149.35,6,105.1375,Male,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),49-72
1,0,0,0,1,71,25.45,1789.65,2,25.206338028169014,Male,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),49-72
0,1,0,1,1,58,79.8,4526.85,3,78.0491379310345,Female,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49-72
1,0,0,1,0,2,19.2,37.2,1,18.6,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0-12
0,1,1,1,0,14,89.65,1208.35,4,86.31071428571428,Female,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),13-24
0,0,0,0,1,71,20.9,1493.2,1,21.03098591549296,Female,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),49-72
0,1,1,1,0,14,100.55,1415.55,5,101.11071428571428,Male,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,13-24
0,1,1,1,0,6,50.95,307.6,4,51.26666666666667,Female,No,No,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),0-12
0,1,1,1,0,15,69.5,1071.4,5,71.42666666666668,Male,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,13-24
0,1,1,0,1,57,97.55,5598.0,5,98.21052631578948,Male,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),49-72
0,1,0,0,1,66,61.15,4017.45,4,60.87045454545454,Female,No,No,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),49-72
